census_NAME,census_B01001_001E,census_B19013_001E,zcta,census_S2701_C03_001E,census_S2701_C05_001E,cdc_totalpopulation,cdc_access2_crudeprev,cdc_checkup_crudeprev,cdc_dental_crudeprev,cdc_arthritis_crudeprev,cdc_bphigh_crudeprev,cdc_cancer_crudeprev,cdc_casthma_crudeprev,cdc_chd_crudeprev,cdc_copd_crudeprev,cdc_depression_crudeprev,cdc_diabetes_crudeprev,cdc_highchol_crudeprev,cdc_kidney_crudeprev,cdc_obesity_crudeprev,cdc_stroke_crudeprev,cdc_ghlth_crudeprev,cdc_mhlth_crudeprev,cdc_phlth_crudeprev,npi_total_providers,npi_individual_providers,npi_organization_providers
ZCTA5 85254,46655,120885,85254,96.4,3.6,45801,5.6,70.3,72.8,22.9,27.2,7.6,9.4,4.8,4.7,18.4,7.7,34.4,2.8,26.8,2.4,10.0,13.8,8.6,179.0,70.0,109.0
ZCTA5 85255,45136,143567,85255,97.7,2.3,37270,4.4,72.1,76.1,24.2,28.6,8.5,9.0,5.1,4.4,17.4,7.8,36.2,2.9,26.2,2.4,9.0,12.0,8.0,169.0,94.0,75.0
ZCTA5 85256,3768,51469,85256,72.6,27.4,4974,20.3,68.6,41.9,28.5,37.4,6.5,14.5,9.4,12.0,24.2,17.9,35.3,4.8,40.7,5.4,31.8,25.9,20.1,122.0,100.0,22.0
ZCTA5 85257,29055,79828,85257,91.7,8.3,26755,9.7,69.3,65.4,23.7,29.1,7.6,9.8,6.1,6.1,19.3,9.3,34.2,3.3,28.9,3.0,13.7,15.8,10.4,134.0,90.0,44.0
ZCTA5 85258,25524,105171,85258,96.9,3.1,23342,4.8,74.7,75.1,28.4,33.0,10.6,9.0,6.7,5.4,17.0,9.3,39.1,3.6,25.8,3.1,10.4,11.8,9.0,184.0,88.0,96.0
ZCTA5 85259,22156,145574,85259,95.3,4.7,21422,4.8,71.6,75.0,23.7,28.2,8.1,9.2,5.0,4.5,17.8,7.9,35.7,2.8,26.5,2.4,9.5,12.9,8.3,180.0,165.0,15.0
ZCTA5 85260,39842,103854,85260,95.3,4.7,36056,5.4,70.5,73.9,22.6,26.8,7.9,9.2,4.8,4.4,18.1,7.3,33.9,2.8,25.7,2.4,9.4,13.4,8.1,243.0,132.0,111.0
ZCTA5 85262,13919,173795,85262,96.9,3.1,11275,4.1,74.2,76.2,27.6,32.2,9.4,9.1,5.9,5.1,17.2,9.1,39.7,3.2,27.3,2.7,9.9,11.7,8.9,123.0,90.0,33.0
ZCTA5 85263,3335,137200,85263,98.7,1.3,2111,3.8,82.5,76.9,38.8,44.6,15.8,8.3,10.4,7.3,14.3,12.6,48.5,5.1,24.6,4.5,12.3,8.8,10.5,9.0,4.0,5.0
ZCTA5 85264,1329,58333,85264,65.8,34.2,1249,14.5,67.5,54.9,23.0,30.2,5.8,12.7,5.9,7.3,21.9,12.2,31.9,3.4,36.1,3.5,21.3,21.8,14.3,14.0,12.0,2.0
ZCTA5 85266,12510,157137,85266,99.0,1.0,11406,4.3,75.5,76.3,29.3,33.9,10.5,9.0,6.5,5.4,16.9,9.6,40.8,3.5,26.6,3.0,10.3,11.3,9.1,148.0,89.0,59.0
ZCTA5 85268,23895,105288,85268,95.1,4.9,22684,5.1,74.8,73.7,29.6,34.1,10.4,9.3,6.9,6.0,17.6,9.8,40.1,3.7,27.1,3.2,11.5,12.5,9.9,175.0,133.0,42.0
ZCTA5 85281,70726,59084,85281,88.2,11.8,57348,13.5,61.8,55.7,11.4,17.6,2.7,11.4,2.8,4.0,23.6,5.7,22.6,1.8,27.9,1.5,13.7,23.8,9.1,155.0,90.0,65.0
ZCTA5 85282,54501,79084,85282,90.3,9.7,48671,10.4,66.5,63.8,18.5,24.2,5.6,10.2,4.4,4.7,20.3,7.6,29.8,2.6,28.3,2.3,12.5,18.0,9.2,210.0,106.0,104.0
ZCTA5 85283,46789,81073,85283,90.5,9.5,44813,11.4,66.5,64.3,18.0,23.8,5.3,10.1,4.1,4.4,19.5,8.0,29.7,2.5,29.1,2.2,13.1,17.2,9.4,158.0,97.0,61.0
ZCTA5 85284,19696,154663,85284,94.1,5.9,16479,5.0,70.4,74.9,21.7,26.2,7.0,9.2,4.3,4.1,17.6,7.6,34.5,2.5,26.4,2.1,9.2,13.0,8.0,144.0,100.0,44.0
ZCTA5 85286,49870,118759,85286,93.1,6.9,38930,7.1,66.2,71.1,16.2,21.0,4.9,9.1,3.0,3.2,18.1,6.1,28.6,2.0,26.4,1.6,8.9,14.5,7.2,103.0,58.0,45.0
ZCTA5 85295,54697,116288,85295,93.7,6.3,38332,7.6,64.3,69.5,14.6,19.1,4.2,9.5,2.6,3.2,19.8,5.3,26.2,1.8,27.1,1.5,8.7,16.2,7.2,182.0,105.0,77.0
ZCTA5 85296,52058,117120,85296,92.8,7.2,36799,7.8,65.6,69.3,16.9,21.3,4.9,9.7,3.2,3.7,19.9,6.1,28.3,2.1,28.1,1.7,9.7,16.1,8.0,171.0,123.0,48.0
ZCTA5 85297,35535,132684,85297,94.8,5.2,26979,7.7,64.0,69.9,14.4,18.7,4.1,9.5,2.5,3.1,19.8,5.0,25.9,1.8,27.5,1.4,8.6,16.0,7.2,133.0,85.0,48.0
ZCTA5 85298,43536,146688,85298,96.5,3.5,21479,6.7,68.9,71.4,21.2,25.7,6.8,9.3,4.3,4.4,18.6,7.4,32.9,2.6,27.6,2.2,9.9,14.2,8.4,107.0,69.0,38.0
ZCTA5 85301,66970,47422,85301,78.9,21.1,60161,28.8,65.5,43.3,21.5,30.3,4.9,11.8,6.3,8.0,21.7,13.5,33.2,3.6,38.3,3.5,27.1,22.3,15.8,167.0,96.0,71.0
ZCTA5 85302,40329,62516,85302,85.9,14.1,36909,15.2,68.0,55.8,23.4,30.1,6.4,10.9,6.0,7.2,20.9,10.9,34.1,3.3,33.0,3.2,18.6,19.1,12.7,172.0,103.0,69.0
ZCTA5 85303,34769,75077,85303,85.6,14.4,30310,21.2,65.0,52.3,18.1,25.8,4.2,10.7,4.4,5.4,19.9,10.3,30.4,2.8,34.7,2.5,19.5,19.6,12.1,130.0,86.0,44.0
ZCTA5 85304,29745,82976,85304,93.4,6.6,25883,10.7,68.2,62.4,22.9,28.4,6.4,10.5,5.3,6.2,20.6,9.5,33.9,3.0,31.0,2.8,14.8,17.6,11.2,151.0,112.0,39.0
ZCTA5 85305,16471,99565,85305,83.6,16.4,10822,13.5,64.6,62.3,16.0,21.9,4.2,10.1,3.3,4.1,19.7,7.3,28.1,2.2,30.1,1.9,13.1,17.8,9.2,97.0,51.0,46.0
ZCTA5 85306,24696,82060,85306,92.8,7.2,24191,10.7,67.7,61.4,22.7,28.0,6.5,10.6,5.3,6.3,21.2,9.1,33.2,3.0,30.8,2.8,14.8,18.3,11.2,195.0,123.0,72.0
ZCTA5 85307,13290,78540,85307,86.1,13.9,9230,13.6,64.5,60.5,16.3,22.4,4.2,10.5,3.5,4.4,20.5,7.5,28.0,2.3,30.8,2.0,13.8,18.8,9.7,88.0,58.0,30.0
ZCTA5 85308,65159,95512,85308,91.8,8.2,63876,8.2,67.9,66.7,21.5,26.3,6.3,10.1,4.6,5.2,20.2,8.0,32.7,2.6,29.1,2.4,12.1,16.5,9.7,272.0,176.0,96.0
ZCTA5 85309,965,-666666666,85309,-666666666.0,-666666666.0,1485,9.8,56.6,65.5,3.1,7.9,0.8,9.3,0.7,1.4,20.0,1.2,11.7,0.7,19.1,0.5,6.8,22.2,4.8,150.0,142.0,8.0
ZCTA5 85310,19612,117095,85310,94.3,5.7,19007,7.2,68.1,68.7,21.6,26.1,6.3,10.0,4.4,5.0,20.1,7.8,32.9,2.5,29.4,2.3,11.5,16.0,9.5,102.0,67.0,35.0
ZCTA5 85320,315,40208,85320,91.1,8.9,1197,19.8,69.0,57.0,24.6,32.5,7.2,9.7,7.6,7.1,17.8,12.8,37.3,3.9,33.0,3.6,19.6,15.9,12.8,0.0,0.0,0.0
ZCTA5 85321,4313,52127,85321,91.4,8.6,4435,16.9,71.8,47.7,34.4,41.4,9.1,11.8,10.6,11.4,23.6,16.6,40.4,5.3,37.4,5.5,28.1,19.2,18.3,41.0,28.0,13.0
ZCTA5 85322,493,74125,85322,63.7,36.3,752,15.9,67.2,56.7,23.8,30.3,6.3,10.6,6.1,7.4,20.8,10.8,35.0,3.2,34.1,3.1,18.4,18.3,13.0,0.0,0.0,0.0
ZCTA5 85323,46604,79903,85323,85.7,14.3,39507,23.5,64.1,50.9,16.9,24.9,3.9,10.8,4.4,5.3,20.2,10.5,29.2,2.9,35.1,2.5,20.7,20.1,12.4,166.0,98.0,68.0
ZCTA5 85326,73912,91444,85326,89.4,10.6,51705,18.2,64.1,55.5,17.9,25.1,4.5,10.2,4.3,5.3,20.1,8.8,30.0,2.6,33.7,2.3,16.8,18.8,11.2,179.0,110.0,69.0
ZCTA5 85329,2429,36292,85329,81.7,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0
ZCTA5 85331,31866,123710,85331,94.7,5.3,26960,5.3,70.8,73.2,24.1,28.3,7.7,9.5,5.0,4.9,18.9,8.1,35.4,2.8,28.3,2.4,10.3,13.8,9.0,132.0,79.0,53.0
ZCTA5 85333,403,43269,85333,92.6,7.4,790,17.3,68.6,60.5,22.5,32.0,6.7,9.3,6.5,6.2,17.2,12.9,36.4,3.6,38.1,3.3,18.5,14.2,12.4,2.0,2.0,0.0
ZCTA5 85335,35823,74764,85335,87.0,13.0,31787,19.7,64.6,53.9,18.0,24.9,4.5,10.7,4.4,5.4,20.9,9.4,29.7,2.7,34.1,2.4,18.1,19.8,11.7,130.0,83.0,47.0
ZCTA5 85337,2396,49260,85337,70.7,29.3,2793,29.3,66.0,40.4,23.8,33.6,5.1,12.0,7.7,9.4,21.8,16.6,35.5,4.1,40.6,4.2,30.8,22.7,18.1,13.0,6.0,7.0
