census_NAME,census_B01001_001E,census_B19013_001E,zcta,census_S2701_C03_001E,census_S2701_C05_001E,cdc_totalpopulation,cdc_access2_crudeprev,cdc_checkup_crudeprev,cdc_dental_crudeprev,cdc_arthritis_crudeprev,cdc_bphigh_crudeprev,cdc_cancer_crudeprev,cdc_casthma_crudeprev,cdc_chd_crudeprev,cdc_copd_crudeprev,cdc_depression_crudeprev,cdc_diabetes_crudeprev,cdc_highchol_crudeprev,cdc_kidney_crudeprev,cdc_obesity_crudeprev,cdc_stroke_crudeprev,cdc_ghlth_crudeprev,cdc_mhlth_crudeprev,cdc_phlth_crudeprev,npi_total_providers,npi_individual_providers,npi_organization_providers
ZCTA5 85016,36857,85085,85016,89.0,11.0,33896,13.2,68.0,62.3,21.6,27.8,6.5,10.1,5.2,5.5,19.3,9.3,33.0,3.0,30.7,2.7,15.0,16.6,10.6,233.0,159.0,74.0
ZCTA5 85017,44336,51737,85017,74.9,25.1,38872,30.2,63.8,41.4,18.9,28.2,4.0,11.6,5.5,7.2,21.5,12.6,31.4,3.2,38.2,3.1,26.9,22.7,15.3,172.0,107.0,65.0
ZCTA5 85018,38268,87637,85018,90.2,9.8,36065,9.5,69.3,67.5,22.4,27.8,7.1,9.7,5.2,5.2,18.9,8.6,33.6,2.9,29.2,2.6,12.6,15.1,9.7,88.0,51.0,37.0
ZCTA5 85019,26974,58767,85019,77.3,22.7,25042,31.3,64.7,41.9,20.6,29.7,4.6,11.6,6.2,7.6,21.3,13.7,33.1,3.6,38.2,3.4,27.8,22.0,15.9,161.0,121.0,40.0
ZCTA5 85020,33934,78412,85020,91.6,8.4,32850,12.0,69.7,63.4,24.3,30.1,7.4,10.1,5.9,6.3,19.4,10.0,35.2,3.3,30.9,3.0,15.3,16.1,11.2,182.0,100.0,82.0
ZCTA5 85021,40026,58481,85021,84.2,15.8,37743,17.2,67.7,55.8,22.1,29.2,6.3,10.7,5.7,6.6,20.2,10.4,33.2,3.2,32.9,3.0,18.6,18.9,12.3,164.0,110.0,54.0
ZCTA5 85022,52488,66601,85022,88.9,11.1,46395,10.6,68.2,63.1,22.6,27.8,6.6,10.4,5.2,6.0,20.7,8.8,33.4,2.9,30.3,2.7,14.2,17.4,10.7,161.0,98.0,63.0
ZCTA5 85023,34635,72442,85023,87.2,12.8,31274,12.6,67.2,60.9,21.5,27.2,6.0,10.4,5.0,5.9,20.7,9.0,32.7,2.8,31.3,2.6,15.0,17.9,11.0,95.0,44.0,51.0
ZCTA5 85024,25674,97759,85024,90.9,9.1,22898,8.0,66.1,67.9,18.6,22.9,5.5,10.0,3.7,4.4,20.7,6.6,29.6,2.3,28.4,2.0,10.7,16.7,8.7,114.0,67.0,47.0
ZCTA5 85026,0,-666666666,85026,-666666666.0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ZCTA5 85027,38986,73255,85027,90.1,9.9,37140,10.3,65.3,63.3,18.6,23.7,5.2,10.1,4.0,4.9,20.6,7.2,29.8,2.4,29.3,2.1,12.5,17.7,9.5,212.0,139.0,73.0
ZCTA5 85028,18952,119436,85028,97.2,2.8,19157,5.8,71.7,72.6,25.4,29.7,8.5,9.5,5.5,5.2,18.4,8.6,36.4,3.1,27.7,2.7,10.8,13.6,9.2,158.0,92.0,66.0
ZCTA5 85029,49433,60384,85029,86.8,13.2,43233,15.1,66.9,57.2,21.8,28.0,5.9,10.7,5.4,6.5,21.0,9.8,32.6,3.0,32.7,2.9,17.2,19.0,12.0,177.0,87.0,90.0
ZCTA5 85031,30681,59641,85031,72.9,27.1,30493,35.3,63.7,40.6,19.2,28.3,4.2,11.6,5.8,7.2,21.0,13.4,32.2,3.5,38.6,3.3,28.8,22.2,15.9,188.0,125.0,63.0
ZCTA5 85032,70447,74331,85032,87.1,12.9,65485,13.3,66.9,61.5,21.0,26.5,6.1,10.3,4.9,5.7,20.4,8.7,32.3,2.8,30.8,2.5,14.9,17.6,10.7,212.0,102.0,110.0
ZCTA5 85033,58234,60749,85033,75.7,24.3,53037,33.5,63.1,42.0,17.9,26.6,3.8,11.5,5.0,6.5,21.3,12.2,30.8,3.2,38.3,2.9,26.9,22.3,15.0,182.0,130.0,52.0
ZCTA5 85034,4825,53545,85034,86.4,13.6,5582,25.3,66.8,48.3,20.5,31.2,4.7,10.8,6.0,6.4,19.0,14.5,33.5,3.6,38.5,3.3,25.0,19.2,14.4,156.0,88.0,68.0
ZCTA5 85035,52002,57790,85035,74.0,26.0,47486,34.6,62.4,42.1,16.2,25.0,3.4,11.5,4.5,5.7,20.9,11.6,29.6,3.0,37.8,2.6,26.5,22.3,14.4,161.0,110.0,51.0
ZCTA5 85037,53041,81919,85037,81.9,18.1,44771,23.6,63.8,51.0,16.4,24.1,3.7,10.8,4.0,5.0,20.1,9.8,28.9,2.6,35.0,2.3,19.8,20.1,12.0,200.0,124.0,76.0
ZCTA5 85040,33325,57890,85040,76.6,23.4,29352,28.1,65.8,44.4,19.1,29.8,4.1,11.5,5.4,6.3,19.6,13.5,31.2,3.5,38.7,3.4,25.7,21.0,14.4,159.0,86.0,73.0
ZCTA5 85041,63881,70555,85041,83.2,16.8,54947,25.3,65.3,49.0,17.9,27.0,4.0,11.0,4.8,5.5,19.5,11.9,30.5,3.1,36.5,2.8,22.7,19.9,13.1,150.0,70.0,80.0
ZCTA5 85042,45575,86837,85042,84.9,15.1,40962,19.6,66.9,55.0,18.8,27.6,4.7,10.6,4.7,5.2,18.7,11.1,30.9,3.1,34.8,2.8,19.0,18.3,11.7,151.0,103.0,48.0
ZCTA5 85043,39603,70051,85043,77.1,22.9,30560,27.2,63.2,48.0,15.8,23.9,3.4,11.0,4.0,5.1,20.3,10.1,28.2,2.7,36.3,2.4,21.8,20.7,12.6,153.0,70.0,83.0
ZCTA5 85044,40419,96374,85044,93.5,6.5,37993,7.6,68.5,69.4,20.3,25.3,6.4,9.7,4.3,4.4,18.9,7.4,31.6,2.6,28.0,2.2,10.7,15.3,8.6,171.0,99.0,72.0
ZCTA5 85045,7457,154300,85045,95.9,4.1,7238,5.2,68.1,75.0,18.1,22.5,5.6,9.1,3.2,3.3,17.9,6.2,30.6,2.1,26.8,1.7,8.1,13.4,7.2,36.0,26.0,10.0
ZCTA5 85048,34113,123198,85048,95.0,5.0,33449,6.0,68.2,72.8,18.8,23.5,5.7,9.5,3.5,3.7,18.5,6.7,31.0,2.2,27.3,1.9,9.2,14.3,7.8,163.0,99.0,64.0
ZCTA5 85050,32669,137389,85050,95.8,4.2,25736,7.2,68.0,69.9,20.7,25.0,6.6,9.7,4.4,4.7,19.5,7.2,31.8,2.6,27.6,2.2,10.7,15.1,8.8,106.0,58.0,48.0
ZCTA5 85051,45484,63665,85051,85.5,14.5,40375,19.0,66.7,51.4,22.4,29.9,5.6,11.2,6.0,7.4,21.3,11.6,33.6,3.3,35.0,3.2,21.0,20.2,13.6,178.0,82.0,96.0
ZCTA5 85053,29719,66870,85053,90.5,9.5,28480,12.3,66.7,59.8,21.8,27.4,5.9,10.7,5.1,6.3,21.4,9.1,32.7,2.9,31.6,2.7,15.6,18.7,11.4,151.0,89.0,62.0
ZCTA5 85054,10159,89099,85054,87.6,12.4,5384,5.8,65.8,72.8,16.2,20.3,5.2,9.3,3.0,3.2,19.4,5.3,27.8,2.0,25.5,1.6,7.8,14.9,6.8,137.0,122.0,15.0
ZCTA5 85083,21225,157437,85083,94.0,6.0,18104,6.1,66.5,72.2,17.5,21.7,5.3,9.4,3.2,3.6,19.1,6.1,29.6,2.1,27.0,1.7,8.7,14.8,7.6,107.0,77.0,30.0
ZCTA5 85085,30132,122138,85085,95.5,4.5,17517,6.5,64.7,71.6,15.0,19.1,4.6,9.4,2.7,3.1,19.6,5.0,26.7,1.8,25.9,1.5,8.1,15.5,6.9,113.0,67.0,46.0
ZCTA5 85086,43369,118543,85086,95.9,4.1,40495,6.9,68.1,70.6,20.9,25.4,6.4,9.6,4.2,4.5,19.4,7.2,32.3,2.5,28.9,2.1,10.3,15.0,8.7,161.0,85.0,76.0
ZCTA5 85087,9835,120688,85087,96.2,3.8,7708,7.3,69.2,68.0,24.0,28.8,7.2,9.9,5.2,5.7,19.8,8.6,35.2,2.8,29.9,2.6,12.3,15.6,10.2,46.0,33.0,13.0
ZCTA5 85120,29308,53921,85120,91.3,8.7,28168,11.5,73.9,55.0,34.1,38.0,9.9,10.4,9.1,10.1,19.3,13.3,41.6,4.4,35.8,4.5,20.0,15.3,14.7,131.0,79.0,52.0
ZCTA5 85139,19522,85716,85139,90.0,10.0,17979,15.4,67.5,49.0,23.2,28.1,5.1,11.1,5.2,7.3,20.6,10.7,32.9,2.9,39.6,2.9,19.6,18.2,13.4,153.0,89.0,64.0
