zcta,census_B01001_001E,census_B19013_001E,census_S2701_C03_001E,census_S2701_C05_001E,cdc_totalpopulation,cdc_access2_crudeprev,cdc_checkup_crudeprev,cdc_dental_crudeprev,cdc_arthritis_crudeprev,cdc_bphigh_crudeprev,cdc_cancer_crudeprev,cdc_casthma_crudeprev,cdc_chd_crudeprev,cdc_copd_crudeprev,cdc_depression_crudeprev,cdc_diabetes_crudeprev,cdc_highchol_crudeprev,cdc_kidney_crudeprev,cdc_obesity_crudeprev,cdc_stroke_crudeprev,cdc_ghlth_crudeprev,cdc_mhlth_crudeprev,cdc_phlth_crudeprev,npi_total_providers,npi_individual_providers,npi_organization_providers,Z_census_B01001_001E,Z_census_B19013_001E,Z_census_S2701_C03_001E,Z_census_S2701_C05_001E,Z_cdc_arthritis_crudeprev,Z_cdc_bphigh_crudeprev,Z_cdc_cancer_crudeprev,Z_cdc_casthma_crudeprev,Z_cdc_chd_crudeprev,Z_cdc_copd_crudeprev,Z_cdc_depression_crudeprev,Z_cdc_diabetes_crudeprev,Z_cdc_highchol_crudeprev,Z_cdc_kidney_crudeprev,Z_cdc_obesity_crudeprev,Z_cdc_stroke_crudeprev,Z_cdc_ghlth_crudeprev,Z_cdc_mhlth_crudeprev,Z_cdc_phlth_crudeprev,Z_cdc_access2_crudeprev,Z_cdc_checkup_crudeprev,Z_cdc_dental_crudeprev,Z_npi_total_providers,Z_npi_individual_providers,Z_npi_organization_providers
85050,32669,137389,95.8,4.2,25736,7.2,68.0,69.9,20.7,25.0,6.6,9.7,4.4,4.7,19.5,7.2,31.8,2.6,27.6,2.2,10.7,15.1,8.8,106.0,58.0,48.0,0.356972,0.667768,0.886926,0.113074,0.261972,0.207283,0.25,0.225806,0.152,0.177778,0.539216,0.170543,0.323944,0.153846,0.191358,0.145455,0.120833,0.368421,0.150376,0.107362,0.268398,0.808786,0.368821,0.308571,0.387931
85051,45484,63665,85.5,14.5,40375,19.0,66.7,51.4,22.4,29.9,5.6,11.2,6.0,7.4,21.3,11.6,33.6,3.3,35.0,3.2,21.0,20.2,13.6,178.0,82.0,96.0,0.508083,0.120561,0.522968,0.477032,0.309859,0.344538,0.185897,0.467742,0.28,0.477778,0.715686,0.511628,0.387324,0.288462,0.648148,0.327273,0.55,0.666667,0.511278,0.469325,0.212121,0.330749,0.642586,0.445714,0.801724
85053,29719,66870,90.5,9.5,28480,12.3,66.7,59.8,21.8,27.4,5.9,10.7,5.1,6.3,21.4,9.1,32.7,2.9,31.6,2.7,15.6,18.7,11.4,151.0,89.0,62.0,0.322186,0.14435,0.699647,0.300353,0.292958,0.27451,0.205128,0.387097,0.208,0.355556,0.72549,0.317829,0.355634,0.211538,0.438272,0.236364,0.325,0.578947,0.345865,0.263804,0.212121,0.547804,0.539924,0.485714,0.508621
85054,10159,89099,87.6,12.4,5384,5.8,65.8,72.8,16.2,20.3,5.2,9.3,3.0,3.2,19.4,5.3,27.8,2.0,25.5,1.6,7.8,14.9,6.8,136.0,121.0,15.0,0.091539,0.309342,0.597173,0.402827,0.135211,0.07563,0.160256,0.16129,0.04,0.011111,0.529412,0.023256,0.183099,0.038462,0.061728,0.036364,0.0,0.356725,0.0,0.064417,0.17316,0.883721,0.48289,0.668571,0.103448
85083,21225,157437,94.0,6.0,18104,6.1,66.5,72.2,17.5,21.7,5.3,9.4,3.2,3.6,19.1,6.1,29.6,2.1,27.0,1.7,8.7,14.8,7.6,107.0,77.0,30.0,0.222027,0.816571,0.823322,0.176678,0.171831,0.114846,0.166667,0.177419,0.056,0.055556,0.5,0.085271,0.246479,0.057692,0.154321,0.054545,0.0375,0.350877,0.06015,0.07362,0.203463,0.868217,0.372624,0.417143,0.232759
85085,30132,122138,95.5,4.5,17517,6.5,64.7,71.6,15.0,19.1,4.6,9.4,2.7,3.1,19.6,5.0,26.7,1.8,25.9,1.5,8.1,15.5,6.9,113.0,67.0,46.0,0.327056,0.554569,0.876325,0.123675,0.101408,0.042017,0.121795,0.177419,0.016,0.0,0.54902,0.0,0.144366,0.0,0.08642,0.018182,0.0125,0.391813,0.007519,0.08589,0.125541,0.852713,0.395437,0.36,0.37069
85086,43369,118543,95.9,4.1,40495,6.9,68.1,70.6,20.9,25.4,6.4,9.6,4.2,4.5,19.4,7.2,32.3,2.5,28.9,2.1,10.3,15.0,8.7,161.0,85.0,76.0,0.483144,0.527886,0.890459,0.109541,0.267606,0.218487,0.237179,0.209677,0.136,0.155556,0.529412,0.170543,0.341549,0.134615,0.271605,0.127273,0.104167,0.362573,0.142857,0.09816,0.272727,0.826873,0.577947,0.462857,0.62931
85087,9835,120688,96.2,3.8,7708,7.3,69.2,68.0,24.0,28.8,7.2,9.9,5.2,5.7,19.8,8.6,35.2,2.8,29.9,2.6,12.3,15.6,10.2,46.0,33.0,13.0,0.087719,0.543807,0.90106,0.09894,0.35493,0.313725,0.288462,0.258065,0.216,0.288889,0.568627,0.27907,0.443662,0.192308,0.333333,0.218182,0.1875,0.397661,0.255639,0.110429,0.320346,0.75969,0.140684,0.165714,0.086207
85120,29308,53921,91.3,8.7,28168,11.5,73.9,55.0,34.1,38.0,9.9,10.4,9.1,10.1,19.3,13.3,41.6,4.4,35.8,4.5,20.0,15.3,14.7,131.0,79.0,52.0,0.31734,0.048238,0.727915,0.272085,0.639437,0.571429,0.461538,0.33871,0.528,0.777778,0.519608,0.643411,0.669014,0.5,0.697531,0.563636,0.508333,0.380117,0.593985,0.239264,0.52381,0.423773,0.463878,0.428571,0.422414
85139,19522,85716,90.0,10.0,17979,15.4,67.5,49.0,23.2,28.1,5.1,11.1,5.2,7.3,20.6,10.7,32.9,2.9,39.6,2.9,19.6,18.2,13.4,153.0,89.0,64.0,0.201946,0.284232,0.681979,0.318021,0.332394,0.294118,0.153846,0.451613,0.216,0.466667,0.647059,0.44186,0.362676,0.211538,0.932099,0.272727,0.491667,0.549708,0.496241,0.358896,0.246753,0.268734,0.547529,0.485714,0.525862
85142,87201,125236,93.8,6.2,48870,9.4,65.8,64.4,18.0,22.2,4.9,9.9,3.4,4.3,20.0,6.7,29.0,2.2,31.4,1.9,11.3,16.4,8.9,145.0,93.0,52.0,1.0,0.577564,0.816254,0.183746,0.185915,0.128852,0.141026,0.258065,0.072,0.133333,0.588235,0.131783,0.225352,0.076923,0.425926,0.090909,0.145833,0.444444,0.157895,0.174847,0.17316,0.666667,0.51711,0.508571,0.422414
85201,52484,63725,86.6,13.4,46092,17.5,66.2,53.5,20.9,27.9,5.5,11.1,5.6,6.7,21.5,10.4,31.6,3.1,33.9,3.0,19.2,20.2,12.7,184.0,123.0,61.0,0.590626,0.121007,0.561837,0.438163,0.267606,0.288515,0.179487,0.451613,0.248,0.4,0.735294,0.418605,0.316901,0.25,0.580247,0.290909,0.475,0.666667,0.443609,0.423313,0.190476,0.385013,0.665399,0.68,0.5
85202,39292,66582,88.4,11.6,37275,13.2,66.1,59.6,19.1,25.2,5.1,10.7,4.4,5.4,21.0,8.6,30.3,2.6,31.4,2.4,15.1,19.0,10.6,180.0,90.0,90.0,0.435069,0.142212,0.625442,0.374558,0.216901,0.212885,0.153846,0.387097,0.152,0.255556,0.686275,0.27907,0.271127,0.153846,0.425926,0.181818,0.304167,0.596491,0.285714,0.291411,0.186147,0.542636,0.65019,0.491429,0.75
85203,37435,72851,86.5,13.5,35541,14.5,66.7,59.0,21.3,27.1,5.9,10.7,5.2,6.2,21.1,9.3,32.3,2.9,32.0,2.7,16.4,18.7,11.5,137.0,71.0,66.0,0.413171,0.188743,0.558304,0.441696,0.278873,0.266106,0.205128,0.387097,0.216,0.344444,0.696078,0.333333,0.341549,0.211538,0.462963,0.236364,0.358333,0.578947,0.353383,0.331288,0.212121,0.527132,0.486692,0.382857,0.543103
85204,65018,69474,81.9,18.1,60885,19.5,65.1,54.0,19.8,26.4,5.1,10.8,5.1,6.3,21.3,9.9,31.3,2.9,33.7,2.7,18.9,19.9,12.3,169.0,107.0,62.0,0.738423,0.163678,0.39576,0.60424,0.23662,0.246499,0.153846,0.403226,0.208,0.355556,0.715686,0.379845,0.306338,0.211538,0.567901,0.236364,0.4625,0.649123,0.413534,0.484663,0.142857,0.397933,0.608365,0.588571,0.508621
85205,44704,71294,93.5,6.5,39858,9.6,73.0,64.1,30.1,35.6,9.8,10.1,8.1,8.0,19.3,11.8,39.4,4.1,30.0,3.9,16.3,15.5,12.4,157.0,98.0,59.0,0.498886,0.177187,0.805654,0.194346,0.526761,0.504202,0.455128,0.290323,0.448,0.544444,0.519608,0.527132,0.591549,0.442308,0.339506,0.454545,0.354167,0.391813,0.421053,0.180982,0.484848,0.658915,0.562738,0.537143,0.482759
85206,36896,69986,90.8,9.2,33154,10.5,73.3,63.3,30.3,35.9,10.4,10.0,8.8,8.1,19.0,11.6,38.9,4.4,28.7,4.2,16.6,15.6,12.3,263.0,144.0,119.0,0.406816,0.167478,0.710247,0.289753,0.532394,0.512605,0.49359,0.274194,0.504,0.555556,0.490196,0.511628,0.573944,0.5,0.259259,0.509091,0.366667,0.397661,0.413534,0.208589,0.497835,0.638243,0.965779,0.8,1.0
85207,50135,99439,90.3,9.7,44744,9.3,69.6,65.6,24.6,29.7,7.5,10.1,5.9,6.4,19.9,9.4,35.3,3.2,30.1,3.0,14.0,16.1,10.9,131.0,84.0,47.0,0.562927,0.386089,0.69258,0.30742,0.371831,0.338936,0.307692,0.290323,0.272,0.366667,0.578431,0.341085,0.447183,0.269231,0.345679,0.290909,0.258333,0.426901,0.308271,0.171779,0.337662,0.697674,0.463878,0.457143,0.37931
85208,37840,68452,87.4,12.6,34762,12.0,72.1,61.9,29.4,35.2,9.6,10.0,8.3,8.2,19.3,11.7,38.8,4.2,30.3,4.0,17.1,15.9,12.7,118.0,84.0,34.0,0.417947,0.156092,0.590106,0.409894,0.507042,0.492997,0.442308,0.274194,0.464,0.566667,0.519608,0.51938,0.570423,0.461538,0.358025,0.472727,0.3875,0.415205,0.443609,0.254601,0.445887,0.602067,0.414449,0.457143,0.267241
85209,42171,80498,91.6,8.4,37377,9.5,71.5,66.6,26.6,31.8,9.0,9.7,6.9,6.5,18.9,9.8,36.8,3.6,28.5,3.3,13.7,15.1,10.7,169.0,108.0,61.0,0.469017,0.245502,0.738516,0.261484,0.428169,0.397759,0.403846,0.225806,0.352,0.377778,0.480392,0.372093,0.5,0.346154,0.246914,0.345455,0.245833,0.368421,0.293233,0.177914,0.419913,0.723514,0.608365,0.594286,0.5
85210,39941,59680,79.6,20.4,36464,20.6,64.5,52.2,18.5,25.8,4.5,11.0,4.6,5.9,21.3,9.9,30.5,2.8,34.7,2.5,19.5,20.5,12.4,175.0,116.0,59.0,0.442722,0.090983,0.314488,0.685512,0.2,0.229692,0.115385,0.435484,0.168,0.311111,0.715686,0.379845,0.278169,0.192308,0.62963,0.2,0.4875,0.684211,0.421053,0.518405,0.116883,0.351421,0.631179,0.64,0.482759
85212,50427,123404,95.6,4.4,24492,8.8,64.9,67.4,16.3,20.9,4.6,9.9,3.1,3.8,20.5,6.0,27.6,2.0,28.8,1.7,10.2,17.1,8.2,129.0,74.0,55.0,0.56637,0.563966,0.879859,0.120141,0.138028,0.092437,0.121795,0.258065,0.048,0.077778,0.637255,0.077519,0.176056,0.038462,0.265432,0.054545,0.1,0.48538,0.105263,0.156442,0.134199,0.744186,0.456274,0.4,0.448276
85213,37323,100671,93.2,6.8,31797,9.2,70.0,65.4,25.1,30.3,7.8,10.1,6.2,6.5,19.8,9.7,35.6,3.3,29.6,3.1,14.1,16.1,10.9,139.0,77.0,62.0,0.411851,0.395233,0.795053,0.204947,0.385915,0.355742,0.326923,0.290323,0.296,0.377778,0.568627,0.364341,0.457746,0.288462,0.314815,0.309091,0.2625,0.426901,0.308271,0.168712,0.354978,0.692506,0.494297,0.417143,0.508621
85215,16600,90310,95.2,4.8,15963,7.0,74.5,69.6,30.9,35.9,10.8,9.5,8.1,7.3,17.9,11.0,40.4,4.1,28.0,3.8,13.9,13.4,11.2,148.0,96.0,52.0,0.16749,0.31833,0.865724,0.134276,0.549296,0.512605,0.519231,0.193548,0.448,0.466667,0.382353,0.465116,0.626761,0.442308,0.216049,0.436364,0.254167,0.269006,0.330827,0.101227,0.549784,0.801034,0.528517,0.525714,0.422414
85224,48304,90886,92.8,7.2,42796,8.9,66.7,67.1,18.4,23.5,5.4,9.8,3.8,4.3,19.4,7.2,29.9,2.4,28.4,2.1,11.2,16.2,8.7,238.0,143.0,95.0,0.541336,0.322606,0.780919,0.219081,0.197183,0.165266,0.173077,0.241935,0.104,0.133333,0.529412,0.170543,0.257042,0.115385,0.240741,0.127273,0.141667,0.432749,0.142857,0.159509,0.212121,0.736434,0.870722,0.794286,0.793103
85225,73316,86036,88.3,11.7,69810,15.1,65.6,59.5,18.2,24.4,4.9,10.4,4.1,5.0,20.2,8.6,30.1,2.6,31.5,2.3,15.4,18.2,10.5,169.0,90.0,79.0,0.836271,0.286607,0.621908,0.378092,0.191549,0.190476,0.141026,0.33871,0.128,0.211111,0.607843,0.27907,0.264085,0.153846,0.432099,0.163636,0.316667,0.549708,0.278195,0.349693,0.164502,0.540052,0.608365,0.491429,0.655172
85226,40974,103740,94.3,5.7,37376,7.3,66.8,69.7,17.6,22.4,5.2,9.6,3.4,3.7,18.9,6.7,29.6,2.2,27.2,1.8,9.9,15.4,8.0,147.0,89.0,58.0,0.454902,0.418013,0.833922,0.166078,0.174648,0.134454,0.160256,0.209677,0.072,0.066667,0.480392,0.131783,0.246479,0.076923,0.166667,0.072727,0.0875,0.385965,0.090226,0.110429,0.21645,0.803618,0.524715,0.485714,0.474138
85233,37841,105154,94.3,5.7,37564,8.1,66.8,68.3,18.4,23.4,5.4,9.7,3.7,4.1,19.5,7.1,30.3,2.3,28.4,2.0,10.7,16.0,8.6,145.0,85.0,60.0,0.417959,0.428508,0.833922,0.166078,0.197183,0.162465,0.173077,0.225806,0.096,0.111111,0.539216,0.162791,0.271127,0.096154,0.240741,0.109091,0.120833,0.421053,0.135338,0.134969,0.21645,0.767442,0.51711,0.462857,0.491379
85234,49040,118012,92.6,7.4,50014,7.8,66.9,68.8,18.9,23.5,5.5,9.9,3.7,4.3,20.0,6.9,30.4,2.3,28.7,2.0,10.6,16.2,8.7,195.0,113.0,82.0,0.550015,0.523945,0.773852,0.226148,0.211268,0.165266,0.179487,0.258065,0.096,0.133333,0.588235,0.147287,0.274648,0.096154,0.259259,0.109091,0.116667,0.432749,0.142857,0.125767,0.220779,0.780362,0.707224,0.622857,0.681034
85248,37461,94220,96.6,3.4,29821,6.0,77.0,71.8,32.7,38.1,12.2,9.0,8.7,7.2,16.1,11.5,42.3,4.4,26.2,4.1,13.6,11.5,10.8,134.0,77.0,57.0,0.413478,0.347352,0.915194,0.084806,0.6,0.57423,0.608974,0.112903,0.496,0.455556,0.205882,0.503876,0.693662,0.5,0.104938,0.490909,0.241667,0.157895,0.300752,0.070552,0.658009,0.857881,0.475285,0.417143,0.465517
85249,48018,150985,97.1,2.9,36908,6.5,69.3,71.6,21.1,26.1,6.9,9.2,4.5,4.4,17.8,7.7,32.9,2.7,27.2,2.3,10.2,13.6,8.4,125.0,65.0,60.0,0.537964,0.768682,0.932862,0.067138,0.273239,0.238095,0.269231,0.145161,0.16,0.144444,0.372549,0.209302,0.362676,0.173077,0.166667,0.163636,0.1,0.280702,0.120301,0.08589,0.324675,0.852713,0.441065,0.348571,0.491379
85250,14904,89133,95.6,4.4,15906,6.2,72.1,72.0,26.0,30.2,9.2,9.5,6.0,5.4,18.6,8.6,36.2,3.3,26.7,2.9,11.0,13.8,9.2,101.0,72.0,29.0,0.147491,0.309594,0.879859,0.120141,0.411268,0.352941,0.416667,0.193548,0.28,0.255556,0.45098,0.27907,0.478873,0.288462,0.135802,0.272727,0.133333,0.292398,0.180451,0.076687,0.445887,0.863049,0.34981,0.388571,0.224138
85251,39976,89151,92.4,7.6,34390,9.2,68.6,67.4,21.6,26.6,7.3,9.7,5.2,5.0,19.3,7.9,32.3,2.9,27.5,2.6,11.8,15.6,9.2,179.0,97.0,82.0,0.443134,0.309728,0.766784,0.233216,0.287324,0.252101,0.294872,0.225806,0.216,0.211111,0.519608,0.224806,0.341549,0.211538,0.185185,0.218182,0.166667,0.397661,0.180451,0.168712,0.294372,0.744186,0.646388,0.531429,0.681034
85253,17202,182150,96.0,4.0,17047,4.8,73.9,75.2,27.0,31.8,9.7,9.0,6.1,5.1,17.0,9.0,38.8,3.3,26.0,2.8,10.2,12.0,8.8,140.0,91.0,49.0,0.174589,1.0,0.893993,0.106007,0.439437,0.397759,0.448718,0.112903,0.288,0.222222,0.294118,0.310078,0.570423,0.288462,0.092593,0.254545,0.1,0.187135,0.150376,0.033742,0.52381,0.945736,0.498099,0.497143,0.396552
85254,46655,120885,96.4,3.6,45801,5.6,70.3,72.8,22.9,27.2,7.6,9.4,4.8,4.7,18.4,7.7,34.4,2.8,26.8,2.4,10.0,13.8,8.6,178.0,69.0,109.0,0.521891,0.545269,0.908127,0.091873,0.323944,0.268908,0.314103,0.177419,0.184,0.177778,0.431373,0.209302,0.415493,0.192308,0.141975,0.181818,0.091667,0.292398,0.135338,0.058282,0.367965,0.883721,0.642586,0.371429,0.913793
85255,45136,143567,97.7,2.3,37270,4.4,72.1,76.1,24.2,28.6,8.5,9.0,5.1,4.4,17.4,7.8,36.2,2.9,26.2,2.4,9.0,12.0,8.0,169.0,94.0,75.0,0.50398,0.713623,0.954064,0.045936,0.360563,0.308123,0.371795,0.112903,0.208,0.144444,0.333333,0.217054,0.478873,0.211538,0.104938,0.181818,0.05,0.187135,0.090226,0.021472,0.445887,0.968992,0.608365,0.514286,0.62069
85256,3768,51469,72.6,27.4,4974,20.3,68.6,41.9,28.5,37.4,6.5,14.5,9.4,12.0,24.2,17.9,35.3,4.8,40.7,5.4,31.8,25.9,20.1,123.0,101.0,22.0,0.016178,0.030038,0.067138,0.932862,0.48169,0.554622,0.24359,1.0,0.552,0.988889,1.0,1.0,0.447183,0.576923,1.0,0.727273,1.0,1.0,1.0,0.509202,0.294372,0.085271,0.43346,0.554286,0.163793
85257,29055,79828,91.7,8.3,26755,9.7,69.3,65.4,23.7,29.1,7.6,9.8,6.1,6.1,19.3,9.3,34.2,3.3,28.9,3.0,13.7,15.8,10.4,134.0,90.0,44.0,0.314356,0.240529,0.742049,0.257951,0.346479,0.322129,0.314103,0.241935,0.288,0.333333,0.519608,0.333333,0.408451,0.288462,0.271605,0.290909,0.245833,0.409357,0.270677,0.184049,0.324675,0.692506,0.475285,0.491429,0.353448
85258,25524,105171,96.9,3.1,23342,4.8,74.7,75.1,28.4,33.0,10.6,9.0,6.7,5.4,17.0,9.3,39.1,3.6,25.8,3.1,10.4,11.8,9.0,184.0,88.0,96.0,0.27272,0.428634,0.925795,0.074205,0.478873,0.431373,0.50641,0.112903,0.336,0.255556,0.294118,0.333333,0.580986,0.346154,0.080247,0.309091,0.108333,0.175439,0.165414,0.033742,0.558442,0.943152,0.665399,0.48,0.801724
85259,22156,145574,95.3,4.7,21422,4.8,71.6,75.0,23.7,28.2,8.1,9.2,5.0,4.5,17.8,7.9,35.7,2.8,26.5,2.4,9.5,12.9,8.3,179.0,164.0,15.0,0.233005,0.72852,0.869258,0.130742,0.346479,0.296919,0.346154,0.145161,0.2,0.155556,0.372549,0.224806,0.461268,0.192308,0.123457,0.181818,0.070833,0.239766,0.112782,0.033742,0.424242,0.940568,0.646388,0.914286,0.103448
85260,39842,103854,95.3,4.7,36056,5.4,70.5,73.9,22.6,26.8,7.9,9.2,4.8,4.4,18.1,7.3,33.9,2.8,25.7,2.4,9.4,13.4,8.1,243.0,132.0,111.0,0.441554,0.418859,0.869258,0.130742,0.315493,0.257703,0.333333,0.145161,0.184,0.144444,0.401961,0.178295,0.397887,0.192308,0.074074,0.181818,0.066667,0.269006,0.097744,0.052147,0.376623,0.912145,0.889734,0.731429,0.931034
85262,13919,173795,96.9,3.1,11275,4.1,74.2,76.2,27.6,32.2,9.4,9.1,5.9,5.1,17.2,9.1,39.7,3.2,27.3,2.7,9.9,11.7,8.9,124.0,91.0,33.0,0.135876,0.937986,0.925795,0.074205,0.456338,0.408964,0.429487,0.129032,0.272,0.222222,0.313725,0.317829,0.602113,0.269231,0.17284,0.236364,0.0875,0.169591,0.157895,0.01227,0.536797,0.971576,0.437262,0.497143,0.258621
85263,3335,137200,98.7,1.3,2111,3.8,82.5,76.9,38.8,44.6,15.8,8.3,10.4,7.3,14.3,12.6,48.5,5.1,24.6,4.5,12.3,8.8,10.5,9.0,4.0,5.0,0.011072,0.666365,0.989399,0.010601,0.771831,0.756303,0.839744,0.0,0.632,0.466667,0.029412,0.589147,0.911972,0.634615,0.006173,0.563636,0.1875,0.0,0.278195,0.003067,0.896104,0.989664,0.0,0.0,0.017241
85266,12510,157137,99.0,1.0,11406,4.3,75.5,76.3,29.3,33.9,10.5,9.0,6.5,5.4,16.9,9.6,40.8,3.5,26.6,3.0,10.3,11.3,9.1,148.0,89.0,59.0,0.119262,0.814344,1.0,0.0,0.504225,0.456583,0.5,0.112903,0.32,0.255556,0.284314,0.356589,0.640845,0.326923,0.12963,0.290909,0.104167,0.146199,0.172932,0.018405,0.593074,0.97416,0.528517,0.485714,0.482759
85268,23895,105288,95.1,4.9,22684,5.1,74.8,73.7,29.6,34.1,10.4,9.3,6.9,6.0,17.6,9.8,40.1,3.7,27.1,3.2,11.5,12.5,9.9,175.0,133.0,42.0,0.253511,0.429502,0.862191,0.137809,0.512676,0.462185,0.49359,0.16129,0.352,0.322222,0.352941,0.372093,0.616197,0.365385,0.160494,0.327273,0.154167,0.216374,0.233083,0.042945,0.562771,0.906977,0.631179,0.737143,0.336207
85281,70726,59084,88.2,11.8,57348,13.5,61.8,55.7,11.4,17.6,2.7,11.4,2.8,4.0,23.6,5.7,22.6,1.8,27.9,1.5,13.7,23.8,9.1,155.0,90.0,65.0,0.805731,0.08656,0.618375,0.381625,0.0,0.0,0.0,0.5,0.024,0.1,0.941176,0.054264,0.0,0.0,0.209877,0.018182,0.245833,0.877193,0.172932,0.300613,0.0,0.44186,0.555133,0.491429,0.534483
85282,54501,79084,90.3,9.7,48671,10.4,66.5,63.8,18.5,24.2,5.6,10.2,4.4,4.7,20.3,7.6,29.8,2.6,28.3,2.3,12.5,18.0,9.2,210.0,106.0,104.0,0.61441,0.235007,0.69258,0.30742,0.2,0.184874,0.185897,0.306452,0.152,0.177778,0.617647,0.20155,0.253521,0.153846,0.234568,0.163636,0.195833,0.538012,0.180451,0.205521,0.203463,0.651163,0.764259,0.582857,0.87069
85283,46789,81073,90.5,9.5,44813,11.4,66.5,64.3,18.0,23.8,5.3,10.1,4.1,4.4,19.5,8.0,29.7,2.5,29.1,2.2,13.1,17.2,9.4,158.0,97.0,61.0,0.523471,0.24977,0.699647,0.300353,0.185915,0.173669,0.166667,0.290323,0.128,0.144444,0.539216,0.232558,0.25,0.134615,0.283951,0.145455,0.220833,0.491228,0.195489,0.236196,0.203463,0.664083,0.56654,0.531429,0.5
85284,19696,154663,94.1,5.9,16479,5.0,70.4,74.9,21.7,26.2,7.0,9.2,4.3,4.1,17.6,7.6,34.5,2.5,26.4,2.1,9.2,13.0,8.0,144.0,100.0,44.0,0.203997,0.795982,0.826855,0.173145,0.290141,0.240896,0.275641,0.145161,0.144,0.111111,0.352941,0.20155,0.419014,0.134615,0.117284,0.127273,0.058333,0.245614,0.090226,0.039877,0.372294,0.937984,0.513308,0.548571,0.353448
85286,49870,118759,93.1,6.9,38930,7.1,66.2,71.1,16.2,21.0,4.9,9.1,3.0,3.2,18.1,6.1,28.6,2.0,26.4,1.6,8.9,14.5,7.2,103.0,58.0,45.0,0.559802,0.529489,0.791519,0.208481,0.135211,0.095238,0.141026,0.129032,0.04,0.011111,0.401961,0.085271,0.211268,0.038462,0.117284,0.036364,0.045833,0.333333,0.030075,0.104294,0.190476,0.839793,0.357414,0.308571,0.362069
85295,54697,116288,93.7,6.3,38332,7.6,64.3,69.5,14.6,19.1,4.2,9.5,2.6,3.2,19.8,5.3,26.2,1.8,27.1,1.5,8.7,16.2,7.2,182.0,105.0,77.0,0.616721,0.511148,0.812721,0.187279,0.090141,0.042017,0.096154,0.193548,0.008,0.011111,0.568627,0.023256,0.126761,0.0,0.160494,0.018182,0.0375,0.432749,0.030075,0.119632,0.108225,0.79845,0.657795,0.577143,0.637931
85296,52058,117120,92.8,7.2,36799,7.8,65.6,69.3,16.9,21.3,4.9,9.7,3.2,3.7,19.9,6.1,28.3,2.1,28.1,1.7,9.7,16.1,8.0,171.0,123.0,48.0,0.585602,0.517324,0.780919,0.219081,0.15493,0.103641,0.141026,0.225806,0.056,0.066667,0.578431,0.085271,0.200704,0.057692,0.222222,0.054545,0.079167,0.426901,0.090226,0.125767,0.164502,0.793282,0.61597,0.68,0.387931
85297,35535,132684,94.8,5.2,26979,7.7,64.0,69.9,14.4,18.7,4.1,9.5,2.5,3.1,19.8,5.0,25.9,1.8,27.5,1.4,8.6,16.0,7.2,133.0,85.0,48.0,0.390767,0.632845,0.85159,0.14841,0.084507,0.030812,0.089744,0.193548,0.0,0.0,0.568627,0.0,0.116197,0.0,0.185185,0.0,0.033333,0.421053,0.030075,0.122699,0.095238,0.808786,0.471483,0.462857,0.387931
85298,43536,146688,96.5,3.5,21479,6.7,68.9,71.4,21.2,25.7,6.8,9.3,4.3,4.4,18.6,7.4,32.9,2.6,27.6,2.2,9.9,14.2,8.4,107.0,69.0,38.0,0.485113,0.736788,0.911661,0.088339,0.276056,0.226891,0.262821,0.16129,0.144,0.144444,0.45098,0.186047,0.362676,0.153846,0.191358,0.145455,0.0875,0.315789,0.120301,0.092025,0.307359,0.847545,0.372624,0.371429,0.301724
85301,66970,47422,78.9,21.1,60161,28.8,65.5,43.3,21.5,30.3,4.9,11.8,6.3,8.0,21.7,13.5,33.2,3.6,38.3,3.5,27.1,22.3,15.8,167.0,96.0,71.0,0.761441,0.0,0.289753,0.710247,0.284507,0.355742,0.141026,0.564516,0.304,0.544444,0.754902,0.658915,0.373239,0.346154,0.851852,0.381818,0.804167,0.789474,0.676692,0.769939,0.160173,0.121447,0.60076,0.525714,0.586207
85302,40329,62516,85.9,14.1,36909,15.2,68.0,55.8,23.4,30.1,6.4,10.9,6.0,7.2,20.9,10.9,34.1,3.3,33.0,3.2,18.6,19.1,12.7,172.0,103.0,69.0,0.447297,0.112033,0.537102,0.462898,0.338028,0.35014,0.237179,0.419355,0.28,0.455556,0.676471,0.457364,0.40493,0.288462,0.524691,0.327273,0.45,0.602339,0.443609,0.352761,0.268398,0.444444,0.619772,0.565714,0.568966
85303,34769,75077,85.6,14.4,30310,21.2,65.0,52.3,18.1,25.8,4.2,10.7,4.4,5.4,19.9,10.3,30.4,2.8,34.7,2.5,19.5,19.6,12.1,130.0,86.0,44.0,0.381735,0.205265,0.526502,0.473498,0.188732,0.229692,0.096154,0.387097,0.152,0.255556,0.578431,0.410853,0.274648,0.192308,0.62963,0.2,0.4875,0.631579,0.398496,0.53681,0.138528,0.354005,0.460076,0.468571,0.353448
85304,29745,82976,93.4,6.6,25883,10.7,68.2,62.4,22.9,28.4,6.4,10.5,5.3,6.2,20.6,9.5,33.9,3.0,31.0,2.8,14.8,17.6,11.2,151.0,112.0,39.0,0.322493,0.263895,0.80212,0.19788,0.323944,0.302521,0.237179,0.354839,0.224,0.344444,0.647059,0.348837,0.397887,0.230769,0.401235,0.254545,0.291667,0.51462,0.330827,0.214724,0.277056,0.614987,0.539924,0.617143,0.310345
